[label]	tdl_label
P2x purinoceptor 2	Tbio
P2x purinoceptor 3	Tchem
P2y purinoceptor 1	Tchem
P2y purinoceptor 12	Tclin
P2y purinoceptor 14	Tbio
P2y purinoceptor 2	Tclin
P2y purinoceptor 6	Tchem
Pab-dependent poly(a)-specific ribonuclease subunit pan3	Tdark
Pannexin-1	Tbio
Pannexin-2	Tbio
Pannexin-3	Tbio
Pantothenate kinase 1	Tchem
Pantothenate kinase 2, mitochondrial	Tchem
Pantothenate kinase 2, mitochondrial	Tbio
Pantothenate kinase 3	Tchem
Pantothenate kinase 3	Tbio
Pantothenate kinase 4	Tdark
Parathyroid hormone 2 receptor	Tchem
Parathyroid hormone/parathyroid hormone-related peptide receptor	Tclin
Pas domain-containing serine/threonine-protein kinase	Tbio
Peripheral plasma membrane protein cask	Tchem
Peroxisome proliferator-activated receptor alpha	Tclin
Peroxisome proliferator-activated receptor delta	Tchem
Peroxisome proliferator-activated receptor gamma	Tclin
Phosphatidylinositol 3-kinase catalytic subunit type 3	Tchem
Phosphatidylinositol 3-kinase regulatory subunit alpha	Tchem
Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform	Tchem
Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform	Tchem
Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform	Tclin
Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform	Tchem
Phosphatidylinositol 4-kinase alpha	Tchem
Phosphatidylinositol 4-kinase beta	Tchem
Phosphatidylinositol 4-kinase type 2-alpha	Tbio
Phosphatidylinositol 4-phosphate 3-kinase c2 domain-containing subunit alpha	Tchem
Phosphatidylinositol 4-phosphate 3-kinase c2 domain-containing subunit beta	Tchem
Phosphatidylinositol 4-phosphate 3-kinase c2 domain-containing subunit gamma	Tchem
Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha	Tchem
Phosphatidylinositol 4-phosphate 5-kinase type-1 beta	Tbio
Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma	Tchem
Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha	Tbio
Phosphatidylinositol 5-phosphate 4-kinase type-2 beta	Tchem
Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma	Tchem
Phosphoenolpyruvate carboxykinase [gtp], mitochondrial	Tbio
Phosphoenolpyruvate carboxykinase, cytosolic [GTP]	Tchem
Phosphoglycerate kinase 1	Tbio
Phosphoglycerate kinase 2	Tbio
Phosphoinositide 3-kinase regulatory subunit 4	Tbio
Phospholemman	Tbio
Phosphorylase b kinase gamma catalytic chain, liver/testis isoform	Tchem
Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform	Tchem
Phosphorylase b kinase regulatory subunit alpha, liver isoform	Tbio
Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform	Tbio
Photoreceptor-specific nuclear receptor	Tbio
Piezo-type mechanosensitive ion channel component 1	Tbio
Piezo-type mechanosensitive ion channel component 2	Tbio
Pituitary adenylate cyclase-activating polypeptide type I receptor	Tchem
Plasmolipin	Tbio
Platelet-activating factor receptor	Tchem
Platelet-derived growth factor receptor alpha	Tclin
Platelet-derived growth factor receptor beta	Tclin
Polycystic kidney disease 2-like 1 protein	Tbio
Polycystic kidney disease 2-like 2 protein	Tbio
Polycystic kidney disease and receptor for egg jelly-related protein	Tdark
Polycystic kidney disease protein 1-like 2	Tdark
Polycystic kidney disease protein 1-like 3	Tbio
Polycystin-2	Tchem
Potassium channel subfamily K member 1	Tbio
Potassium channel subfamily K member 10	Tclin
Potassium channel subfamily K member 12	Tbio
Potassium channel subfamily K member 16	Tdark
Potassium channel subfamily K member 17	Tbio
Potassium channel subfamily K member 18	Tclin
Potassium channel subfamily K member 2	Tclin
Potassium channel subfamily K member 3	Tclin
Potassium channel subfamily K member 4	Tbio
Potassium channel subfamily K member 5	Tbio
Potassium channel subfamily K member 9	Tclin
Potassium channel subfamily U member 1	Tbio
Potassium channel subfamily k member 13	Tbio
Potassium channel subfamily k member 15	Tbio
Potassium channel subfamily k member 6	Tbio
Potassium channel subfamily k member 7	Tdark
Potassium channel subfamily t member 1	Tchem
Potassium channel subfamily t member 2	Tbio
Potassium voltage-gated channel subfamily A member 1	Tclin
Potassium voltage-gated channel subfamily A member 2	Tclin
Potassium voltage-gated channel subfamily A member 3	Tclin
Potassium voltage-gated channel subfamily A member 6	Tclin
Potassium voltage-gated channel subfamily A member 7	Tclin
Potassium voltage-gated channel subfamily B member 2	Tclin
Potassium voltage-gated channel subfamily D member 1	Tclin
Potassium voltage-gated channel subfamily D member 3	Tclin
Potassium voltage-gated channel subfamily E member 1	Tbio
Potassium voltage-gated channel subfamily E member 4	Tbio
Potassium voltage-gated channel subfamily G member 1	Tclin
Potassium voltage-gated channel subfamily G member 3	Tclin
Potassium voltage-gated channel subfamily G member 4	Tclin
Potassium voltage-gated channel subfamily H member 1	Tclin
Potassium voltage-gated channel subfamily H member 2	Tclin
Potassium voltage-gated channel subfamily H member 3	Tclin
Potassium voltage-gated channel subfamily H member 4	Tclin
Potassium voltage-gated channel subfamily H member 6	Tclin
Potassium voltage-gated channel subfamily H member 7	Tclin
Potassium voltage-gated channel subfamily H member 8	Tclin
Potassium voltage-gated channel subfamily KQT member 2	Tclin
Potassium voltage-gated channel subfamily KQT member 3	Tclin
Potassium voltage-gated channel subfamily KQT member 4	Tclin
Potassium voltage-gated channel subfamily S member 1	Tclin
Potassium voltage-gated channel subfamily V member 2	Tclin
Potassium voltage-gated channel subfamily a member 10	Tclin
Potassium voltage-gated channel subfamily a member 4	Tclin
Potassium voltage-gated channel subfamily a member 5	Tclin
Potassium voltage-gated channel subfamily b member 1	Tclin
Potassium voltage-gated channel subfamily c member 1	Tclin
Potassium voltage-gated channel subfamily c member 2	Tclin
Potassium voltage-gated channel subfamily c member 3	Tclin
Potassium voltage-gated channel subfamily c member 4	Tclin
Potassium voltage-gated channel subfamily d member 2	Tclin
Potassium voltage-gated channel subfamily e member 2	Tbio
Potassium voltage-gated channel subfamily e member 3	Tbio
Potassium voltage-gated channel subfamily f member 1	Tclin
Potassium voltage-gated channel subfamily g member 2	Tclin
Potassium voltage-gated channel subfamily h member 5	Tclin
Potassium voltage-gated channel subfamily kqt member 1	Tclin
Potassium voltage-gated channel subfamily kqt member 5	Tclin
Potassium voltage-gated channel subfamily s member 2	Tclin
Potassium voltage-gated channel subfamily s member 3	Tclin
Potassium voltage-gated channel subfamily v member 1	Tclin
Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1	Tclin
Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2	Tclin
Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3	Tclin
Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4	Tclin
Probable G-protein coupled receptor 101	Tbio
Probable G-protein coupled receptor 139	Tchem
Probable G-protein coupled receptor 142	Tchem
Probable G-protein coupled receptor 148	Tdark
Probable G-protein coupled receptor 151	Tdark
Probable G-protein coupled receptor 156	Tbio
Probable G-protein coupled receptor 160	Tbio
Probable G-protein coupled receptor 174	Tchem
Probable G-protein coupled receptor 179	Tdark
Probable G-protein coupled receptor 32	Tbio
Probable G-protein coupled receptor 33	Tdark
Probable G-protein coupled receptor 34	Tchem
Probable G-protein coupled receptor 45	Tbio
Probable G-protein coupled receptor 52	Tchem
Probable G-protein coupled receptor 61	Tbio
Probable G-protein coupled receptor 63	Tdark
Probable G-protein coupled receptor 75	Tdark
Probable g-protein coupled receptor 132	Tbio
Probable g-protein coupled receptor 135	Tbio
Probable g-protein coupled receptor 141	Tdark
Probable g-protein coupled receptor 146	Tdark
Probable g-protein coupled receptor 149	Tdark
Probable g-protein coupled receptor 150	Tdark
Probable g-protein coupled receptor 152	Tbio
Probable g-protein coupled receptor 153	Tdark
Probable g-protein coupled receptor 157	Tdark
Probable g-protein coupled receptor 158	Tbio
Probable g-protein coupled receptor 162	Tbio
Probable g-protein coupled receptor 171	Tdark
Probable g-protein coupled receptor 173	Tdark
Probable g-protein coupled receptor 176	Tbio
Probable g-protein coupled receptor 19	Tbio
Probable g-protein coupled receptor 21	Tdark
Probable g-protein coupled receptor 22	Tdark
Probable g-protein coupled receptor 25	Tdark
Probable g-protein coupled receptor 27	Tdark
Probable g-protein coupled receptor 62	Tdark
Probable g-protein coupled receptor 82	Tdark
Probable g-protein coupled receptor 83	Tbio
Probable g-protein coupled receptor 85	Tbio
Probable g-protein coupled receptor 88	Tchem
Probable gluconokinase	Tbio
Progesterone receptor	Tclin
Prokineticin receptor 1	Tchem
Prokineticin receptor 2	Tbio
Prolactin-releasing peptide receptor	Tbio
Prosaposin receptor GPR37L1	Tbio
Prosaposin receptor gpr37	Tbio
Prostacyclin receptor	Tclin
Prostaglandin D2 receptor	Tclin
Prostaglandin E2 receptor EP2 subtype	Tclin
Prostaglandin E2 receptor EP3 subtype	Tclin
Prostaglandin E2 receptor EP4 subtype	Tclin
Prostaglandin F2-alpha receptor	Tclin
Prostaglandin d2 receptor 2	Tchem
Prostaglandin e2 receptor ep1 subtype	Tclin
Protein FAM26D	Tdark
Protein FAM26E	Tdark
Protein FAM26F	Tdark
Protein gpr107	Tdark
Protein kinase c alpha type	Tchem
Protein kinase c beta type	Tchem
Protein kinase c delta type	Tclin
Protein kinase c epsilon type	Tchem
Protein kinase c eta type	Tchem
Protein kinase c gamma type	Tchem
Protein kinase c iota type	Tchem
Protein kinase c theta type	Tchem
Protein kinase c zeta type	Tchem
Protein o-mannose kinase	Tdark
Protein tweety homolog 1	Tbio
Protein tweety homolog 2	Tdark
Protein tweety homolog 3	Tbio
Protein-associating with the carboxyl-terminal domain of ezrin	Tdark
Protein-tyrosine kinase 2-beta	Tchem
Protein-tyrosine kinase 6	Tchem
Proteinase-activated receptor 1	Tclin
Proteinase-activated receptor 2	Tchem
Proteinase-activated receptor 3	Tbio
Proteinase-activated receptor 4	Tchem
Proto-oncogene Mas	Tbio
Proto-oncogene serine/threonine-protein kinase mos	Tbio
Proto-oncogene tyrosine-protein kinase receptor ret	Tclin
Proto-oncogene tyrosine-protein kinase ros	Tchem
Proto-oncogene tyrosine-protein kinase src	Tclin
Pseudopodium-enriched atypical kinase 1	Tbio
Psychosine receptor	Tbio
Putative 3-phosphoinositide-dependent protein kinase 2	Tdark
Putative G-protein coupled receptor GPR32P1	Tdark
Putative P2Y purinoceptor 10	Tchem
Putative adhesion G protein-coupled receptor E4P	Tdark
Putative fxyd domain-containing ion transport regulator 8	Tdark
Putative glycerol kinase 5	Tbio
Putative gonadotropin-releasing hormone ii receptor	Tbio
Putative hexokinase HKDC1	Tbio
Putative neuropeptide Y receptor type 6	Tbio
Putative nucleoside diphosphate kinase	Tdark
Putative olfactory receptor 10J6	Tdark
Putative olfactory receptor 10d3	Tdark
Putative olfactory receptor 10d4	Tdark
Putative olfactory receptor 13c6	Tdark
Putative olfactory receptor 14l1	Tdark
Putative olfactory receptor 1f2	Tdark
Putative olfactory receptor 2B3	Tdark
Putative olfactory receptor 2B8	Tdark
Putative olfactory receptor 2I1	Tdark
Putative olfactory receptor 2w5	Tdark
Putative olfactory receptor 2w6	Tdark
Putative olfactory receptor 3a4	Tdark
Putative olfactory receptor 4A4	Tdark
Putative olfactory receptor 52l2	Tdark
Putative olfactory receptor 52p1	Tdark
Putative olfactory receptor 56b2	Tdark
Putative olfactory receptor 5AK3	Tdark
Putative olfactory receptor 7a2	Tdark
Putative olfactory receptor 9A1	Tdark
Putative serine/threonine-protein kinase prky	Tdark
Putative trace amine-associated receptor 3	Tdark
Putative vomeronasal receptor-like protein 4	Tdark
Px domain-containing protein kinase-like protein	Tbio
Pyridoxal kinase	Tbio
Pyroglutamylated RFamide peptide receptor	Tchem
Pyruvate kinase PKLR	Tbio
Pyruvate kinase pkm	Tchem
RPE-retinal G protein-coupled receptor	Tbio
Rac-alpha serine/threonine-protein kinase	Tchem
Rac-beta serine/threonine-protein kinase	Tchem
Rac-gamma serine/threonine-protein kinase	Tchem
Raf proto-oncogene serine/threonine-protein kinase	Tclin
Receptor tyrosine-protein kinase erbb-2	Tclin
Receptor tyrosine-protein kinase erbb-3	Tchem
Receptor tyrosine-protein kinase erbb-4	Tclin
Receptor-interacting serine/threonine-protein kinase 1	Tchem
Receptor-interacting serine/threonine-protein kinase 2	Tchem
Receptor-interacting serine/threonine-protein kinase 3	Tbio
Receptor-interacting serine/threonine-protein kinase 4	Tchem
Receptor-type tyrosine-protein kinase flt3	Tclin
Relaxin receptor 1	Tbio
Relaxin receptor 2	Tbio
Relaxin-3 receptor 1	Tbio
Relaxin-3 receptor 2	Tbio
Retinal guanylyl cyclase 1	Tbio
Retinal guanylyl cyclase 2	Tbio
Retinoic acid receptor alpha	Tclin
Retinoic acid receptor beta	Tclin
Retinoic acid receptor gamma	Tclin
Retinoic acid receptor rxr-alpha	Tclin
Retinoic acid receptor rxr-beta	Tclin
Retinoic acid receptor rxr-gamma	Tclin
Retinoic acid-induced protein 3	Tbio
Rho-associated protein kinase 1	Tclin
Rho-associated protein kinase 2	Tclin
Rhodopsin	Tbio
Rhodopsin kinase	Tchem
Ribokinase	Tbio
Ribose-phosphate pyrophosphokinase 1	Tbio
Ribose-phosphate pyrophosphokinase 2	Tbio
Ribose-phosphate pyrophosphokinase 3	Tdark
Ribosomal protein s6 kinase alpha-1	Tchem
Ribosomal protein s6 kinase alpha-2	Tchem
Ribosomal protein s6 kinase alpha-3	Tchem
Ribosomal protein s6 kinase alpha-4	Tchem
Ribosomal protein s6 kinase alpha-5	Tchem
Ribosomal protein s6 kinase alpha-6	Tchem
Ribosomal protein s6 kinase beta-1	Tchem
Ribosomal protein s6 kinase beta-2	Tchem
Ribosomal protein s6 kinase delta-1	Tdark
Ribosomal protein s6 kinase-like 1	Tdark
Ryanodine receptor 1	Tclin
Ryanodine receptor 2	Tclin
Ryanodine receptor 3	Tclin
Scy1-like protein 2	Tbio
Secretin receptor	Tclin
Sedoheptulokinase	Tbio
Serine-protein kinase atm	Tchem
Serine/threonine kinase-like domain-containing protein stkld1	Tdark
Serine/threonine-protein kinase 10	Tchem
Serine/threonine-protein kinase 16	Tchem
Serine/threonine-protein kinase 17a	Tchem
Serine/threonine-protein kinase 17b	Tchem
Serine/threonine-protein kinase 24	Tchem
Serine/threonine-protein kinase 25	Tchem
Serine/threonine-protein kinase 26	Tchem
Serine/threonine-protein kinase 3	Tchem
Serine/threonine-protein kinase 31	Tbio
Serine/threonine-protein kinase 32a	Tchem
Serine/threonine-protein kinase 32b	Tchem
Serine/threonine-protein kinase 32c	Tchem
Serine/threonine-protein kinase 33	Tchem
Serine/threonine-protein kinase 35	Tchem
Serine/threonine-protein kinase 36	Tchem
Serine/threonine-protein kinase 38	Tchem
Serine/threonine-protein kinase 38-like	Tchem
Serine/threonine-protein kinase 4	Tchem
Serine/threonine-protein kinase 40	Tbio
Serine/threonine-protein kinase a-raf	Tchem
Serine/threonine-protein kinase atr	Tchem
Serine/threonine-protein kinase b-raf	Tclin
Serine/threonine-protein kinase brsk1	Tchem
Serine/threonine-protein kinase brsk2	Tchem
Serine/threonine-protein kinase chk1	Tchem
Serine/threonine-protein kinase chk2	Tchem
Serine/threonine-protein kinase d1	Tchem
Serine/threonine-protein kinase d2	Tchem
Serine/threonine-protein kinase d3	Tchem
Serine/threonine-protein kinase dclk1	Tchem
Serine/threonine-protein kinase dclk2	Tchem
Serine/threonine-protein kinase dclk3	Tchem
Serine/threonine-protein kinase greatwall	Tbio
Serine/threonine-protein kinase h1	Tdark
Serine/threonine-protein kinase h2	Tdark
Serine/threonine-protein kinase haspin	Tchem
Serine/threonine-protein kinase ick	Tchem
Serine/threonine-protein kinase kist	Tbio
Serine/threonine-protein kinase lats1	Tchem
Serine/threonine-protein kinase lats2	Tchem
Serine/threonine-protein kinase lmtk1	Tbio
Serine/threonine-protein kinase lmtk2	Tbio
Serine/threonine-protein kinase lmtk3	Tbio
Serine/threonine-protein kinase mak	Tchem
Serine/threonine-protein kinase mark1	Tchem
Serine/threonine-protein kinase mark2	Tchem
Serine/threonine-protein kinase mrck alpha	Tchem
Serine/threonine-protein kinase mrck beta	Tchem
Serine/threonine-protein kinase mrck gamma	Tchem
Serine/threonine-protein kinase mtor	Tclin
Serine/threonine-protein kinase n1	Tchem
Serine/threonine-protein kinase n2	Tchem
Serine/threonine-protein kinase n3	Tbio
Serine/threonine-protein kinase nek1	Tchem
Serine/threonine-protein kinase nek10	Tdark
Serine/threonine-protein kinase nek11	Tchem
Serine/threonine-protein kinase nek2	Tchem
Serine/threonine-protein kinase nek3	Tchem
Serine/threonine-protein kinase nek4	Tchem
Serine/threonine-protein kinase nek5	Tchem
Serine/threonine-protein kinase nek6	Tchem
Serine/threonine-protein kinase nek7	Tchem
Serine/threonine-protein kinase nek8	Tbio
Serine/threonine-protein kinase nek9	Tchem
Serine/threonine-protein kinase nim1	Tchem
Serine/threonine-protein kinase nlk	Tchem
Serine/threonine-protein kinase osr1	Tchem
Serine/threonine-protein kinase pak 1	Tchem
Serine/threonine-protein kinase pak 2	Tchem
Serine/threonine-protein kinase pak 3	Tchem
Serine/threonine-protein kinase pak 4	Tchem
Serine/threonine-protein kinase pak 6	Tchem
Serine/threonine-protein kinase pak 7	Tchem
Serine/threonine-protein kinase pdik1l	Tdark
Serine/threonine-protein kinase pim-1	Tchem
Serine/threonine-protein kinase pim-2	Tchem
Serine/threonine-protein kinase pim-3	Tchem
Serine/threonine-protein kinase pink1, mitochondrial	Tbio
Serine/threonine-protein kinase plk1	Tchem
Serine/threonine-protein kinase plk2	Tchem
Serine/threonine-protein kinase plk3	Tchem
Serine/threonine-protein kinase plk4	Tchem
Serine/threonine-protein kinase prp4 homolog	Tchem
Serine/threonine-protein kinase receptor r3	Tchem
Serine/threonine-protein kinase rio1	Tchem
Serine/threonine-protein kinase rio2	Tchem
Serine/threonine-protein kinase rio3	Tchem
Serine/threonine-protein kinase sbk1	Tchem
Serine/threonine-protein kinase sbk2	Tdark
Serine/threonine-protein kinase sgk1	Tchem
Serine/threonine-protein kinase sgk2	Tchem
Serine/threonine-protein kinase sgk3	Tchem
Serine/threonine-protein kinase sik1	Tchem
Serine/threonine-protein kinase sik2	Tchem
Serine/threonine-protein kinase sik3	Tchem
Serine/threonine-protein kinase smg1	Tchem
Serine/threonine-protein kinase stk11	Tchem
Serine/threonine-protein kinase tao1	Tchem
Serine/threonine-protein kinase tao2	Tchem
Serine/threonine-protein kinase tao3	Tchem
Serine/threonine-protein kinase tbk1	Tchem
Serine/threonine-protein kinase tnni3k	Tchem
Serine/threonine-protein kinase tousled-like 1	Tchem
Serine/threonine-protein kinase tousled-like 2	Tchem
Serine/threonine-protein kinase ulk1	Tchem
Serine/threonine-protein kinase ulk2	Tchem
Serine/threonine-protein kinase ulk3	Tchem
Serine/threonine-protein kinase ulk4	Tbio
Serine/threonine-protein kinase vrk1	Tbio
Serine/threonine-protein kinase vrk2	Tchem
Serine/threonine-protein kinase wnk1	Tbio
Serine/threonine-protein kinase wnk2	Tbio
Serine/threonine-protein kinase wnk3	Tchem
Serine/threonine-protein kinase wnk4	Tbio
Serine/threonine-protein kinase/endoribonuclease ire1	Tchem
Serine/threonine-protein kinase/endoribonuclease ire2	Tbio
Short transient receptor potential channel 1	Tbio
Short transient receptor potential channel 3	Tchem
Short transient receptor potential channel 4	Tbio
Short transient receptor potential channel 5	Tchem
Short transient receptor potential channel 6	Tchem
Short transient receptor potential channel 7	Tbio
Short-wave-sensitive opsin 1	Tbio
Small conductance calcium-activated potassium channel protein 1	Tchem
Small conductance calcium-activated potassium channel protein 2	Tchem
Small conductance calcium-activated potassium channel protein 3	Tchem
Smoothened homolog	Tclin
Snf-related serine/threonine-protein kinase	Tchem
Sodium channel protein type 1 subunit alpha	Tclin
Sodium channel protein type 10 subunit alpha	Tclin
Sodium channel protein type 11 subunit alpha	Tclin
Sodium channel protein type 2 subunit alpha	Tclin
Sodium channel protein type 3 subunit alpha	Tclin
Sodium channel protein type 4 subunit alpha	Tclin
Sodium channel protein type 5 subunit alpha	Tclin
Sodium channel protein type 7 subunit alpha	Tclin
Sodium channel protein type 8 subunit alpha	Tclin
Sodium channel protein type 9 subunit alpha	Tclin
Sodium channel subunit beta-1	Tbio
Sodium channel subunit beta-2	Tbio
Sodium channel subunit beta-3	Tbio
Sodium channel subunit beta-4	Tbio
Sodium leak channel non-selective protein	Tbio
Solute carrier family 26 member 6	Tbio
Somatostatin receptor type 1	Tclin
Somatostatin receptor type 2	Tclin
Somatostatin receptor type 3	Tclin
Somatostatin receptor type 4	Tclin
Somatostatin receptor type 5	Tclin
Sphingosine 1-phosphate receptor 1	Tclin
Sphingosine 1-phosphate receptor 2	Tchem
Sphingosine 1-phosphate receptor 3	Tclin
Sphingosine 1-phosphate receptor 4	Tclin
Sphingosine 1-phosphate receptor 5	Tclin
Sphingosine kinase 1	Tchem
Sphingosine kinase 2	Tchem
Srsf protein kinase 1	Tchem
Srsf protein kinase 2	Tchem
Srsf protein kinase 3	Tchem
Ste20-like serine/threonine-protein kinase	Tchem
Ste20-related kinase adapter protein alpha	Tbio
Ste20-related kinase adapter protein beta	Tbio
Ste20/sps1-related proline-alanine-rich protein kinase	Tchem
Steroid hormone receptor err1	Tchem
Steroid hormone receptor err2	Tchem
Steroidogenic factor 1	Tchem
Striated muscle preferentially expressed protein kinase	Tbio
Substance-P receptor	Tclin
Substance-k receptor	Tchem
Succinate receptor 1	Tbio
Sulfate anion transporter 1	Tbio
TBC domain-containing protein kinase-like protein	Tbio
Taste receptor type 1 member 1	Tbio
Taste receptor type 1 member 2	Tbio
Taste receptor type 1 member 3	Tbio
Taste receptor type 2 member 1	Tbio
Taste receptor type 2 member 10	Tbio
Taste receptor type 2 member 13	Tbio
Taste receptor type 2 member 14	Tbio
Taste receptor type 2 member 16	Tbio
Taste receptor type 2 member 19	Tdark
Taste receptor type 2 member 20	Tbio
Taste receptor type 2 member 3	Tbio
Taste receptor type 2 member 30	Tbio
Taste receptor type 2 member 31	Tbio
Taste receptor type 2 member 38	Tbio
Taste receptor type 2 member 39	Tbio
Taste receptor type 2 member 4	Tbio
Taste receptor type 2 member 40	Tbio
Taste receptor type 2 member 41	Tbio
Taste receptor type 2 member 42	Tdark
Taste receptor type 2 member 43	Tbio
Taste receptor type 2 member 46	Tbio
Taste receptor type 2 member 5	Tbio
Taste receptor type 2 member 50	Tbio
Taste receptor type 2 member 60	Tbio
Taste receptor type 2 member 7	Tbio
Taste receptor type 2 member 8	Tbio
Taste receptor type 2 member 9	Tdark
Tau-tubulin kinase 1	Tbio
Tau-tubulin kinase 2	Tbio
Testis-specific serine/threonine-protein kinase 1	Tchem
Testis-specific serine/threonine-protein kinase 2	Tchem
Testis-specific serine/threonine-protein kinase 3	Tchem
Testis-specific serine/threonine-protein kinase 4	Tbio
Testis-specific serine/threonine-protein kinase 6	Tbio
Tgf-beta receptor type-1	Tchem
Tgf-beta receptor type-2	Tchem
Tgf-beta-activated kinase 1 and map3k7-binding protein 1	Tchem
Thiamin pyrophosphokinase 1	Tbio
Thromboxane A2 receptor	Tclin
Thymidine kinase 2, mitochondrial	Tchem
Thymidine kinase, cytosolic	Tchem
Thymidylate kinase	Tbio
Thyroid hormone receptor alpha	Tclin
Thyroid hormone receptor beta	Tclin
Thyrotropin receptor	Tclin
Thyrotropin-releasing hormone receptor	Tclin
Titin	Tbio
Tp53-regulating kinase	Tbio
Trace amine-associated receptor 1	Tclin
Trace amine-associated receptor 2	Tbio
Trace amine-associated receptor 5	Tbio
Trace amine-associated receptor 6	Tbio
Trace amine-associated receptor 8	Tbio
Trace amine-associated receptor 9	Tdark
Traf2 and nck-interacting protein kinase	Tchem
Transcription initiation factor tfiid subunit 1	Tchem
Transient receptor potential cation channel subfamily M member 3	Tbio
Transient receptor potential cation channel subfamily M member 4	Tchem
Transient receptor potential cation channel subfamily M member 5	Tbio
Transient receptor potential cation channel subfamily M member 7	Tbio
Transient receptor potential cation channel subfamily M member 8	Tclin
Transient receptor potential cation channel subfamily V member 1	Tclin
Transient receptor potential cation channel subfamily V member 3	Tchem
Transient receptor potential cation channel subfamily V member 4	Tchem
Transient receptor potential cation channel subfamily V member 5	Tbio
Transient receptor potential cation channel subfamily V member 6	Tbio
Transient receptor potential cation channel subfamily a member 1	Tclin
Transient receptor potential cation channel subfamily m member 1	Tbio
Transient receptor potential cation channel subfamily m member 2	Tchem
Transient receptor potential cation channel subfamily m member 6	Tchem
Transient receptor potential cation channel subfamily v member 2	Tbio
Transmembrane channel-like protein 1	Tbio
Transmembrane channel-like protein 2	Tdark
Transmembrane channel-like protein 3	Tbio
Transmembrane channel-like protein 4	Tdark
Transmembrane channel-like protein 5	Tbio
Transmembrane channel-like protein 6	Tbio
Transmembrane channel-like protein 7	Tbio
Transmembrane channel-like protein 8	Tbio
Transmembrane protein adipocyte-associated 1	Tdark
Tribbles homolog 1	Tbio
Tribbles homolog 2	Tbio
Tribbles homolog 3	Tbio
Trimeric intracellular cation channel type B	Tbio
Trimeric intracellular cation channel type a	Tbio
Triple functional domain protein	Tbio
Two pore calcium channel protein 1	Tbio
Two pore calcium channel protein 2	Tbio
Type-1 angiotensin II receptor	Tclin
Type-2 angiotensin II receptor	Tchem
Tyrosine-protein kinase abl1	Tclin
Tyrosine-protein kinase blk	Tchem
Tyrosine-protein kinase btk	Tclin
Tyrosine-protein kinase csk	Tchem
Tyrosine-protein kinase fer	Tchem
Tyrosine-protein kinase fes/fps	Tchem
Tyrosine-protein kinase fgr	Tchem
Tyrosine-protein kinase frk	Tchem
Tyrosine-protein kinase fyn	Tclin
Tyrosine-protein kinase hck	Tclin
Tyrosine-protein kinase itk/tsk	Tclin
Tyrosine-protein kinase jak1	Tclin
Tyrosine-protein kinase jak2	Tclin
Tyrosine-protein kinase jak3	Tclin
Tyrosine-protein kinase lck	Tclin
Tyrosine-protein kinase lyn	Tclin
Tyrosine-protein kinase mer	Tchem
Tyrosine-protein kinase receptor tie-1	Tchem
Tyrosine-protein kinase receptor tyro3	Tchem
Tyrosine-protein kinase receptor ufo	Tchem
Tyrosine-protein kinase ryk	Tbio
Tyrosine-protein kinase sgk223	Tbio
Tyrosine-protein kinase srms	Tchem
Tyrosine-protein kinase styk1	Tbio
Tyrosine-protein kinase syk	Tchem
Tyrosine-protein kinase tec	Tchem
Tyrosine-protein kinase transmembrane receptor ror1	Tbio
Tyrosine-protein kinase transmembrane receptor ror2	Tbio
Tyrosine-protein kinase txk	Tchem
Tyrosine-protein kinase yes	Tclin
Tyrosine-protein kinase zap-70	Tchem
Tyrosine-protein kinase zap-70	Tbio
UMP-CMP kinase	Tbio
UMP-CMP kinase 2, mitochondrial	Tbio
Uncharacterized aarf domain-containing protein kinase 1	Tdark
Uncharacterized aarf domain-containing protein kinase 2	Tbio
Uncharacterized aarf domain-containing protein kinase 5	Tdark
Uncharacterized serine/threonine-protein kinase sbk3	Tchem
Uncharacterized serine/threonine-protein kinase sgk494	Tdark
Uracil nucleotide/cysteinyl leukotriene receptor	Tchem
Uridine-cytidine kinase 1	Tbio
Uridine-cytidine kinase 2	Tbio
Uridine-cytidine kinase-like 1	Tdark
Urotensin-2 receptor	Tchem
Vascular endothelial growth factor receptor 1	Tclin
Vascular endothelial growth factor receptor 2	Tclin
Vascular endothelial growth factor receptor 3	Tclin
Vasoactive intestinal polypeptide receptor 1	Tbio
Vasoactive intestinal polypeptide receptor 2	Tchem
Vasopressin V2 receptor	Tclin
Vasopressin v1a receptor	Tclin
Vasopressin v1b receptor	Tclin
Visual pigment-like receptor peropsin	Tbio
Vitamin d3 receptor	Tclin
